,8_n,8_p,8_l,9_n,9_p,9_l
8908,PSKH1,0.6560234501067964,0.74767566,PSKH1,0.6560234501067964,-0.74767566
8909,ZBTB26,0.6560234501067964,0.37387234,ZBTB26,0.6560234501067964,-0.37387234
8910,MAP2,0.6560234501067964,0.56041867,MAP2,0.6560234501067964,-0.56041867
8911,SPACA9,0.6560234501067964,0.66541237,SPACA9,0.6560234501067964,-0.66541237
8912,MELTF,0.6560234501067964,0.37732908,MELTF,0.6560234501067964,-0.37732908
8913,HCG11,0.6560234501067964,0.397046,HCG11,0.6560234501067964,-0.397046
8914,MTMR10,0.6560234501067964,0.63688564,MTMR10,0.6560234501067964,-0.63688564
8915,ZNF860,0.6567867007624647,-1.6161073,ZNF860,0.6567867007624647,1.6161073
8916,AC003092.1,0.6567867007624647,-1.6296289,AC003092.1,0.6567867007624647,1.6296289
8917,PIK3C2B,0.6570730121599555,-0.2855363,PIK3C2B,0.6570730121599555,0.2855363
8918,LIPA,0.657454838997876,-0.42595917,LIPA,0.657454838997876,0.42595917
8919,GRAMD1C,0.6577412678105038,-0.29517588,GRAMD1C,0.6577412678105038,0.29517588
8920,TMC5,0.6577412678105038,-1.401026,TMC5,0.6577412678105038,1.401026
8921,SCAI,0.6578367552521904,-0.4253556,SCAI,0.6578367552521904,0.4253556
8922,COBLL1,0.6579322482770537,-0.78162986,COBLL1,0.6579322482770537,0.78162986
8923,BLOC1S2,0.6582187608373216,-0.3092982,BLOC1S2,0.6582187608373216,0.3092982
8924,GRAMD4,0.6586963933097107,-0.54038465,GRAMD4,0.6586963933097107,0.54038465
8925,CLK4,0.6586963933097107,-0.42332673,CLK4,0.6586963933097107,0.42332673
8926,SERHL2,0.6592697361089737,0.72697675,SERHL2,0.6592697361089737,-0.72697675
8927,HLCS,0.6592697361089737,0.5809806,HLCS,0.6592697361089737,-0.5809806
8928,C10ORF2,0.6594608948943443,0.4697886,C10ORF2,0.6594608948943443,-0.4697886
8929,WNK2,0.659938889141206,-1.5408655,WNK2,0.659938889141206,1.5408655
8930,ZNF561,0.6602257523442412,0.38775098,ZNF561,0.6602257523442412,-0.38775098
8931,FCRLB,0.6604170222300825,-1.6122062,FCRLB,0.6604170222300825,1.6122062
8932,RP11-262H14.3,0.6604170222300825,0.49576482,RP11-262H14.3,0.6604170222300825,-0.49576482
8933,UBXN6,0.6604170222300825,-0.36383,UBXN6,0.6604170222300825,0.36383
8934,SYNE1,0.6606083143037607,-0.468427,SYNE1,0.6606083143037607,0.468427
8935,SS18L1,0.660990964971574,0.27714857,SS18L1,0.660990964971574,-0.27714857
8936,MGAT5,0.660990964971574,-0.56055,MGAT5,0.660990964971574,0.56055
8937,ZNF529,0.6613737042615289,0.11909699,ZNF529,0.6613737042615289,-0.11909699
8938,MAP4K5,0.6617565320874037,-0.90752244,MAP4K5,0.6617565320874037,0.90752244
8939,TRIT1,0.6620437110066009,-0.12462692,TRIT1,0.6620437110066009,0.12462692
8940,PDE6B,0.662139448362908,-0.15158245,PDE6B,0.662139448362908,0.15158245
8941,POU3F1,0.6624266935626569,-0.112065464,POU3F1,0.6624266935626569,0.112065464
8942,DPF3,0.6625224530016813,-0.23648448,DPF3,0.6625224530016813,0.23648448
8943,TRIM23,0.6626182179580086,-0.19493145,TRIM23,0.6626182179580086,0.19493145
8944,ATP6V0A1,0.6632887270232491,-1.0537454,ATP6V0A1,0.6632887270232491,1.0537454
8945,BTBD2,0.6635761706755536,-0.2680932,BTBD2,0.6635761706755536,0.2680932
8946,RP11-596C23.2,0.6636719962329778,-1.0510755,RP11-596C23.2,0.6636719962329778,1.0510755
8947,ASB3,0.6641512065090784,-0.31149724,ASB3,0.6641512065090784,0.31149724
8948,G0S2,0.6641512065090784,2.8127828,G0S2,0.6641512065090784,-2.8127828
8949,LENG9,0.6641512065090784,2.5943089,LENG9,0.6641512065090784,-2.5943089
8950,SLC25A37,0.6642470650526101,-0.78387046,SLC25A37,0.6642470650526101,0.78387046
8951,ZFAND4,0.6642470650526101,-0.35242146,ZFAND4,0.6642470650526101,0.35242146
8952,CA13,0.664342929089083,2.5235407,CA13,0.664342929089083,-2.5235407
8953,TNFRSF12A,0.664534673635428,2.2866073,TNFRSF12A,0.664534673635428,-2.2866073
8954,LINC01547,0.664534673635428,2.5848596,LINC01547,0.664534673635428,-2.5848596
8955,USP31,0.6647264401372621,2.4795675,USP31,0.6647264401372621,-2.4795675
8956,PHF13,0.6647264401372621,2.4475298,PHF13,0.6647264401372621,-2.4475298
8957,MMAA,0.6647264401372621,2.243134,MMAA,0.6647264401372621,-2.243134
8958,TMEM91,0.6647264401372621,2.281026,TMEM91,0.6647264401372621,-2.281026
8959,B4GALNT3,0.6647264401372621,2.079134,B4GALNT3,0.6647264401372621,-2.079134
8960,CTC-523E23.11,0.6647264401372621,2.3553965,CTC-523E23.11,0.6647264401372621,-2.3553965
8961,MIR9-3HG,0.6649182285837303,2.0965836,MIR9-3HG,0.6649182285837303,-2.0965836
8962,PON2,0.6649182285837303,1.9393251,PON2,0.6649182285837303,-1.9393251
8963,LYSMD4,0.6649182285837303,1.554984,LYSMD4,0.6649182285837303,-1.554984
8964,IFI44L,0.6649182285837303,1.2617943,IFI44L,0.6649182285837303,-1.2617943
8965,ZNF34,0.6649182285837303,2.1546483,ZNF34,0.6649182285837303,-2.1546483
8966,IGLV2-14,0.6649182285837303,1.8185959,IGLV2-14,0.6649182285837303,-1.8185959
8967,ARL6,0.6649182285837303,2.121069,ARL6,0.6649182285837303,-2.121069
8968,SLC37A3,0.6649182285837303,1.8192228,SLC37A3,0.6649182285837303,-1.8192228
8969,SPAG4,0.6649182285837303,1.7007406,SPAG4,0.6649182285837303,-1.7007406
8970,SNAI1,0.6649182285837303,2.295389,SNAI1,0.6649182285837303,-2.295389
8971,MIR210HG,0.6649182285837303,1.7682594,MIR210HG,0.6649182285837303,-1.7682594
8972,SH3PXD2A,0.6649182285837303,2.092258,SH3PXD2A,0.6649182285837303,-2.092258
8973,SMKR1,0.6649182285837303,2.1630414,SMKR1,0.6649182285837303,-2.1630414
8974,CCDC163,0.6649182285837303,2.0189767,CCDC163,0.6649182285837303,-2.0189767
8975,CDAN1,0.6649182285837303,2.193059,CDAN1,0.6649182285837303,-2.193059
8976,DCBLD1,0.6649182285837303,2.0402577,DCBLD1,0.6649182285837303,-2.0402577
8977,RP11-305L7.3,0.6649182285837303,2.117963,RP11-305L7.3,0.6649182285837303,-2.117963
8978,LINC01358,0.6649182285837303,1.3562788,LINC01358,0.6649182285837303,-1.3562788
8979,CLTCL1,0.6649182285837303,1.9211951,CLTCL1,0.6649182285837303,-1.9211951
8980,GLTSCR1,0.6649182285837303,1.2224671,GLTSCR1,0.6649182285837303,-1.2224671
8981,CD302,0.6649182285837303,2.2429526,CD302,0.6649182285837303,-2.2429526
8982,CCDC157,0.6649182285837303,1.6411507,CCDC157,0.6649182285837303,-1.6411507
8983,LSM14B,0.6653018712671248,-0.17262246,LSM14B,0.6653018712671248,0.17262246
8984,RNF111,0.6659734568141247,-0.20712526,RNF111,0.6659734568141247,0.20712526
8985,UBN2,0.6669333294444466,0.11718292,UBN2,0.6669333294444466,-0.11718292
8986,NAP1L5,0.6671253694725804,0.13721271,NAP1L5,0.6671253694725804,-0.13721271
8987,RCBTB2,0.6673174313092929,-0.05730699,RCBTB2,0.6673174313092929,0.05730699
8988,NAPSA,0.6675095149436706,0.14205667,NAPSA,0.6675095149436706,-0.14205667
8989,APC,0.6678937475617472,-0.35756555,APC,0.6678937475617472,0.35756555
8990,TPM2,0.6678937475617472,0.88967746,TPM2,0.6678937475617472,-0.88967746
8991,HEXIM2,0.6678937475617472,0.1335846,HEXIM2,0.6678937475617472,-0.1335846
8992,RP11-448A19.1,0.6680858965235981,0.8232997,RP11-448A19.1,0.6680858965235981,-0.8232997
8993,ZBTB22,0.6682780672394181,0.9149415,ZBTB22,0.6682780672394181,-0.9149415
8994,LINC00863,0.6684702596982723,0.95137835,LINC00863,0.6684702596982723,-0.95137835
8995,RETSAT,0.6684702596982723,0.8010392,RETSAT,0.6684702596982723,-0.8010392
8996,ZSWIM3,0.6688547098013242,0.5211825,ZSWIM3,0.6688547098013242,-0.5211825
8997,TNS3,0.6688547098013242,-0.08167011,TNS3,0.6688547098013242,0.08167011
8998,STRN4,0.6690469674236309,-0.06924237,STRN4,0.6690469674236309,0.06924237
8999,ABHD6,0.6690469674236309,0.4924593,ABHD6,0.6690469674236309,-0.4924593
9000,RP11-160H22.5,0.6690469674236309,0.5127041,RP11-160H22.5,0.6690469674236309,-0.5127041
9001,ZNF211,0.6690469674236309,0.8003749,ZNF211,0.6690469674236309,-0.8003749
9002,TMEM267,0.6692392467451904,-0.3949148,TMEM267,0.6692392467451904,0.3949148
9003,RP4-555D20.2,0.6694315477550468,0.65730286,RP4-555D20.2,0.6694315477550468,-0.65730286
9004,AP001055.6,0.6694315477550468,-1.6213447,AP001055.6,0.6694315477550468,1.6213447
9005,GTF3C4,0.6696238704422397,0.3547288,GTF3C4,0.6696238704422397,-0.3547288
9006,ZNF14,0.6696238704422397,0.63668585,ZNF14,0.6696238704422397,-0.63668585
9007,CRAMP1,0.6696238704422397,0.42607704,CRAMP1,0.6696238704422397,-0.42607704
9008,POU5F2,0.6696238704422397,0.30815032,POU5F2,0.6696238704422397,-0.30815032
9009,MARK4,0.6696238704422397,0.5894004,MARK4,0.6696238704422397,-0.5894004
9010,RBKS,0.6700085808047725,-0.0071398136,RBKS,0.6700085808047725,0.0071398136
9011,MIER3,0.6700085808047725,0.3537721,MIER3,0.6700085808047725,-0.3537721
9012,ZNF765,0.6700085808047725,0.21685433,ZNF765,0.6700085808047725,-0.21685433
9013,AC022182.1,0.6700085808047725,-2.0981133,AC022182.1,0.6700085808047725,2.0981133
9014,RPP21,0.6700085808047725,0.2436647,RPP21,0.6700085808047725,-0.2436647
9015,THAP9,0.6700085808047725,0.5885471,THAP9,0.6700085808047725,-0.5885471
9016,SPRYD4,0.6702009684581705,-0.44307703,SPRYD4,0.6702009684581705,0.44307703
9017,ERMARD,0.6705858086543433,-0.20726492,ERMARD,0.6705858086543433,0.20726492
9018,TOP1MT,0.6717408475666662,-0.21756373,TOP1MT,0.6717408475666662,0.21756373
9019,A4GALT,0.6717408475666662,-0.25930557,A4GALT,0.6717408475666662,0.25930557
9020,ACBD5,0.6723186580353816,-0.41541138,ACBD5,0.6723186580353816,0.41541138
9021,PRKD3,0.6731857366674557,-0.6169412,PRKD3,0.6731857366674557,0.6169412
9022,SYNJ2BP,0.6731857366674557,-0.35964856,SYNJ2BP,0.6731857366674557,0.35964856
9023,ZNF277,0.6741496670664503,-0.5159629,ZNF277,0.6741496670664503,0.5159629
9024,LIPE,0.6742460895644531,-0.22424129,LIPE,0.6742460895644531,0.22424129
9025,C5ORF63,0.6742460895644531,-0.5238846,C5ORF63,0.6742460895644531,0.5238846
9026,TBC1D17,0.6744389506105375,-0.4000393,TBC1D17,0.6744389506105375,0.4000393
9027,IL23A,0.6747282822841021,0.16569616,IL23A,0.6747282822841021,-0.16569616
9028,ARL15,0.6747282822841021,0.2199265,ARL15,0.6747282822841021,-0.2199265
9029,GALNT7,0.6747282822841021,0.15021053,GALNT7,0.6747282822841021,-0.15021053
9030,IPO8,0.6748247368642697,-0.39649326,IPO8,0.6748247368642697,0.39649326
9031,PFKM,0.6750176620497641,-0.54606366,PFKM,0.6750176620497641,0.54606366
9032,C4ORF22,0.6751141326523202,0.38981473,C4ORF22,0.6751141326523202,-0.38981473
9033,CD38,0.6758860895252097,-0.03761211,CD38,0.6758860895252097,0.03761211
9034,TMEM234,0.6761756612850306,-0.31904837,TMEM234,0.6761756612850306,0.31904837
9035,ATG14,0.6766583873214902,0.1259189,ATG14,0.6766583873214902,-0.1259189
9036,ZNF260,0.6766583873214902,-0.14941412,ZNF260,0.6766583873214902,0.14941412
9037,ABCC10,0.6768515149565205,-0.2273684,ABCC10,0.6768515149565205,0.2273684
9038,MANBA,0.6769480867442852,-0.2702585,MANBA,0.6769480867442852,0.2702585
9039,VNN2,0.6769480867442852,-0.17587927,VNN2,0.6769480867442852,0.17587927
9040,FBXL18,0.6770446638436953,-0.11630756,FBXL18,0.6770446638436953,0.11630756
9041,NAT9,0.6771412462533599,-0.4741126,NAT9,0.6771412462533599,0.4741126
9042,PTPN23,0.6771412462533599,1.6162369,PTPN23,0.6771412462533599,-1.6162369
9043,ZNF546,0.6773344269978868,1.6266026,ZNF546,0.6773344269978868,-1.6266026
9044,EGR1,0.6773344269978868,-0.43724415,EGR1,0.6773344269978868,0.43724415
9045,ASH1L,0.6773344269978868,-0.65369123,ASH1L,0.6773344269978868,0.65369123
9046,HMOX1,0.677431025329966,-0.3864404,HMOX1,0.677431025329966,0.3864404
9047,ARHGEF19,0.6777208521487601,1.4682884,ARHGEF19,0.6777208521487601,-1.4682884
9048,UGGT2,0.6777208521487601,1.475886,UGGT2,0.6777208521487601,-1.475886
9049,ZNF527,0.6777208521487601,1.4719707,ZNF527,0.6777208521487601,-1.4719707
9050,USP44,0.6777208521487601,1.7972236,USP44,0.6777208521487601,-1.7972236
9051,IL4R,0.6778174716912351,-0.3902768,IL4R,0.6778174716912351,0.3902768
9052,PDE7B,0.677914096532827,1.0682505,PDE7B,0.677914096532827,-1.0682505
9053,HPDL,0.677914096532827,1.5036306,HPDL,0.677914096532827,-1.5036306
9054,KLF4,0.677914096532827,1.2099617,KLF4,0.677914096532827,-1.2099617
9055,TMSB15A,0.6780107266721423,1.3304049,TMSB15A,0.6780107266721423,-1.3304049
9056,NANP,0.6781073621077875,1.4078037,NANP,0.6781073621077875,-1.4078037
9057,RP11-196G18.24,0.6781073621077875,1.4469848,RP11-196G18.24,0.6781073621077875,-1.4469848
9058,ZBTB21,0.6781073621077875,1.6280265,ZBTB21,0.6781073621077875,-1.6280265
9059,GALNT3,0.6781073621077875,1.1518637,GALNT3,0.6781073621077875,-1.1518637
9060,C15ORF39,0.6781073621077875,1.3985528,C15ORF39,0.6781073621077875,-1.3985528
9061,SEMA4F,0.6781073621077875,0.7766155,SEMA4F,0.6781073621077875,-0.7766155
9062,ZSCAN12,0.6783006488624919,1.1358391,ZSCAN12,0.6783006488624919,-1.1358391
9063,RP11-517P14.2,0.6783006488624919,1.4639428,RP11-517P14.2,0.6783006488624919,-1.4639428
9064,TBC1D2,0.6784939567857853,1.2444818,TBC1D2,0.6784939567857853,-1.2444818
9065,PLCB3,0.6784939567857853,1.0668619,PLCB3,0.6784939567857853,-1.0668619
9066,TSEN2,0.6784939567857853,0.40187797,TSEN2,0.6784939567857853,-0.40187797
9067,GNAZ,0.6784939567857853,1.1141086,GNAZ,0.6784939567857853,-1.1141086
9068,CA5B,0.6784939567857853,0.4096772,CA5B,0.6784939567857853,-0.4096772
9069,EXTL3,0.6784939567857853,1.2058502,EXTL3,0.6784939567857853,-1.2058502
9070,PIGO,0.6788806360935027,-0.33650902,PIGO,0.6788806360935027,0.33650902
9071,MYO1C,0.6793641041026159,-0.22839694,MYO1C,0.6793641041026159,0.22839694
9072,ELL,0.6794608135404019,-0.14020517,ELL,0.6794608135404019,0.14020517
9073,MTRNR2L8,0.6794608135404019,-1.4969666,MTRNR2L8,0.6794608135404019,1.4969666
9074,EHD3,0.6796542482407584,-1.6446036,EHD3,0.6796542482407584,1.6446036
9075,VWA8,0.6806217378746163,-1.5015424,VWA8,0.6806217378746163,1.5015424
9076,SMAGP,0.6806217378746163,-0.35835359,SMAGP,0.6806217378746163,0.35835359
9077,KIAA1468,0.6808152989494318,0.05254602,KIAA1468,0.6808152989494318,-0.05254602
9078,ROCK2,0.6811056799766602,-0.39770874,ROCK2,0.6811056799766602,0.39770874
9079,ZNF518B,0.681977106493041,0.5094434,ZNF518B,0.681977106493041,-0.5094434
9080,COX4I1,0.6820739578750801,0.5389229,COX4I1,0.6820739578750801,-0.5389229
9081,SLC35F2,0.6825582933206118,-0.29082125,SLC35F2,0.6825582933206118,0.29082125
9082,FAM135A,0.6827520641224141,0.41909933,FAM135A,0.6827520641224141,-0.41909933
9083,POLR1B,0.6827520641224141,0.49117914,POLR1B,0.6827520641224141,-0.49117914
9084,PIBF1,0.6828489573656035,-0.1280624,PIBF1,0.6828489573656035,0.1280624
9085,AP001258.4,0.6831396684474443,-0.007231533,AP001258.4,0.6831396684474443,0.007231533
9086,TPCN1,0.6833335019481603,0.021250712,TPCN1,0.6833335019481603,-0.021250712
9087,GNPTG,0.6835273563259953,-0.36863452,GNPTG,0.6835273563259953,0.36863452
9088,ACCS,0.6843029823831387,-0.121326834,ACCS,0.6843029823831387,0.121326834
9089,MIR4458HG,0.6843029823831387,0.35415664,MIR4458HG,0.6843029823831387,-0.35415664
9090,WBP2NL,0.6843029823831387,0.31499377,WBP2NL,0.6843029823831387,-0.31499377
9091,SH3D21,0.6849819284800625,-1.9066703,SH3D21,0.6849819284800625,1.9066703
9092,USP34,0.6850789415721432,-0.3526467,USP34,0.6850789415721432,0.3526467
9093,POLM,0.6864376695769401,-0.38729954,POLM,0.6864376695769401,0.38729954
9094,HAGHL,0.6865347604289663,-0.43864363,HAGHL,0.6865347604289663,0.43864363
9095,TAS2R4,0.6868260640154282,-24.670382,TAS2R4,0.6868260640154282,24.670382
9096,CDKN2B,0.6868260640154282,-24.49575,CDKN2B,0.6868260640154282,24.49575
9097,GAPT,0.6870202922508859,-0.1894339,GAPT,0.6870202922508859,0.1894339
9098,AUTS2,0.6872145411487003,0.32036996,AUTS2,0.6872145411487003,-0.32036996
9099,KCNMB4,0.6872145411487003,0.39386463,KCNMB4,0.6872145411487003,-0.39386463
9100,FAM167A,0.6879917431365785,0.45237386,FAM167A,0.6879917431365785,-0.45237386
9101,AVPI1,0.688186095175931,23.805416,AVPI1,0.688186095175931,-23.805416
9102,STAP2,0.688186095175931,23.678604,STAP2,0.688186095175931,-23.678604
9103,ATP11A,0.688186095175931,23.597418,ATP11A,0.688186095175931,-23.597418
9104,NEURL1,0.688186095175931,23.570992,NEURL1,0.688186095175931,-23.570992
9105,KRT86,0.688186095175931,24.289536,KRT86,0.688186095175931,-24.289536
9106,ZNF575,0.688186095175931,23.783861,ZNF575,0.688186095175931,-23.783861
9107,NMNAT3,0.688186095175931,23.862898,NMNAT3,0.688186095175931,-23.862898
9108,PLD6,0.688186095175931,23.828522,PLD6,0.688186095175931,-23.828522
9109,ULK1,0.688186095175931,23.843515,ULK1,0.688186095175931,-23.843515
9110,GPC1,0.688186095175931,23.881327,GPC1,0.688186095175931,-23.881327
9111,C1ORF106,0.688186095175931,23.86437,C1ORF106,0.688186095175931,-23.86437
9112,SMPD3,0.688186095175931,23.770765,SMPD3,0.688186095175931,-23.770765
9113,HOOK1,0.688186095175931,24.105976,HOOK1,0.688186095175931,-24.105976
9114,SUCLG2-AS1,0.688186095175931,23.685162,SUCLG2-AS1,0.688186095175931,-23.685162
9115,PGLYRP2,0.688186095175931,23.635092,PGLYRP2,0.688186095175931,-23.635092
9116,LINC00176,0.688186095175931,24.262701,LINC00176,0.688186095175931,-24.262701
9117,RAP1GAP2,0.688186095175931,23.991838,RAP1GAP2,0.688186095175931,-23.991838
9118,IGHV4-39,0.688186095175931,24.253336,IGHV4-39,0.688186095175931,-24.253336
9119,KLHL25,0.688186095175931,23.906256,KLHL25,0.688186095175931,-23.906256
9120,B4GALT6,0.688186095175931,23.741016,B4GALT6,0.688186095175931,-23.741016
9121,SLC25A30,0.688186095175931,23.649485,SLC25A30,0.688186095175931,-23.649485
9122,DTHD1,0.688186095175931,24.007177,DTHD1,0.688186095175931,-24.007177
9123,ZC3H12C,0.688186095175931,23.981834,ZC3H12C,0.688186095175931,-23.981834
9124,HIST1H3I,0.688186095175931,24.09917,HIST1H3I,0.688186095175931,-24.09917
9125,RP5-1198O20.4,0.688186095175931,23.59324,RP5-1198O20.4,0.688186095175931,-23.59324
9126,SCD5,0.688186095175931,23.689777,SCD5,0.688186095175931,-23.689777
9127,ADGRE1,0.688186095175931,23.709452,ADGRE1,0.688186095175931,-23.709452
9128,ADCK1,0.688186095175931,23.443352,ADCK1,0.688186095175931,-23.443352
9129,ANKRD9,0.688186095175931,23.604927,ANKRD9,0.688186095175931,-23.604927
9130,TSPAN32,0.688186095175931,23.640041,TSPAN32,0.688186095175931,-23.640041
9131,ATP10A,0.688186095175931,23.691517,ATP10A,0.688186095175931,-23.691517
9132,IL21,0.688186095175931,23.883032,IL21,0.688186095175931,-23.883032
9133,FGFBP2,0.688186095175931,24.720566,FGFBP2,0.688186095175931,-24.720566
9134,GTSE1-AS1,0.688186095175931,23.507772,GTSE1-AS1,0.688186095175931,-23.507772
9135,CPA5,0.688186095175931,24.2051,CPA5,0.688186095175931,-24.2051
9136,SERPINE2,0.688186095175931,23.919456,SERPINE2,0.688186095175931,-23.919456
9137,LDOC1L,0.688186095175931,23.590467,LDOC1L,0.688186095175931,-23.590467
9138,RP11-356I2.1,0.688186095175931,23.955702,RP11-356I2.1,0.688186095175931,-23.955702
9139,ZNF496,0.688186095175931,23.725468,ZNF496,0.688186095175931,-23.725468
9140,SYT17,0.688283278919154,-0.37038395,SYT17,0.688283278919154,0.37038395
9141,ORAI1,0.6885748610259568,-0.45858023,ORAI1,0.6885748610259568,0.45858023
9142,SPPL2B,0.6891581640587054,-0.18926659,SPPL2B,0.6891581640587054,0.18926659
9143,GALC,0.6893526394928247,0.20874102,GALC,0.6893526394928247,-0.20874102
9144,RP11-175K6.1,0.6895471354529,0.16946028,RP11-175K6.1,0.6895471354529,-0.16946028
9145,GM2A,0.6897416519275388,-0.5268408,GM2A,0.6897416519275388,0.5268408
9146,KPNA5,0.6897416519275388,-0.2811877,KPNA5,0.6897416519275388,0.2811877
9147,MIGA2,0.6897416519275388,0.02237739,MIGA2,0.6897416519275388,-0.02237739
9148,IGFLR1,0.69003346507937,1.3441559,IGFLR1,0.69003346507937,-1.3441559
9149,WDR81,0.6905199227437193,-2.213142,WDR81,0.6905199227437193,2.213142
9150,KLC4,0.6908118587263501,1.2503401,KLC4,0.6908118587263501,-1.2503401
9151,EFNB2,0.6909091809426681,-1.9525279,EFNB2,0.6909091809426681,1.9525279
9152,KIAA0753,0.691201178237956,1.0170755,KIAA0753,0.691201178237956,-1.0170755
9153,RP11-670E13.6,0.691201178237956,0.96355426,RP11-670E13.6,0.691201178237956,-0.96355426
9154,CASZ1,0.691201178237956,1.0770365,CASZ1,0.691201178237956,-1.0770365
9155,EGR3,0.691201178237956,1.211565,EGR3,0.691201178237956,-1.211565
9156,DHX35,0.691395868625809,0.68572676,DHX35,0.691395868625809,-0.68572676
9157,FEM1C,0.6914932214727474,-0.27913713,FEM1C,0.6914932214727474,0.27913713
9158,FBXL19,0.691590579419788,0.62579757,FBXL19,0.691590579419788,-0.62579757
9159,UBOX5,0.691590579419788,0.9217561,UBOX5,0.691590579419788,-0.9217561
9160,KLHL15,0.6917853106084568,1.1265285,KLHL15,0.6917853106084568,-1.1265285
9161,C1ORF53,0.6917853106084568,0.69793665,C1ORF53,0.6917853106084568,-0.69793665
9162,LRRC37A2,0.6917853106084568,0.6974734,LRRC37A2,0.6917853106084568,-0.6974734
9163,ZNF81,0.691980062180376,0.8922557,ZNF81,0.691980062180376,-0.8922557
9164,RASGRP3,0.6920774456064784,-0.37969163,RASGRP3,0.6920774456064784,0.37969163
9165,TMEM140,0.6920774456064784,-0.58374006,TMEM140,0.6920774456064784,0.58374006
9166,RSPH3,0.6921748341241019,0.69723445,RSPH3,0.6921748341241019,-0.69723445
9167,PPP5D1,0.6921748341241019,0.85292417,PPP5D1,0.6921748341241019,-0.85292417
9168,LFNG,0.6921748341241019,0.11198569,LFNG,0.6921748341241019,-0.11198569
9169,SLC22A18,0.6921748341241019,0.8744566,SLC22A18,0.6921748341241019,-0.8744566
9170,SMN2,0.6921748341241019,0.38688552,SMN2,0.6921748341241019,-0.38688552
9171,C11ORF80,0.6921748341241019,1.0406039,C11ORF80,0.6921748341241019,-1.0406039
9172,ZNF417,0.6923696264281862,0.41624343,ZNF417,0.6923696264281862,-0.41624343
9173,RP11-395A13.2,0.6923696264281862,0.6145411,RP11-395A13.2,0.6923696264281862,-0.6145411
9174,UBTD2,0.6923696264281862,0.3051813,UBTD2,0.6923696264281862,-0.3051813
9175,PPP1R3F,0.6923696264281862,0.21710683,PPP1R3F,0.6923696264281862,-0.21710683
9176,SLC9A7,0.6926618530349333,-0.44885162,SLC9A7,0.6926618530349333,0.44885162
9177,CCDC141,0.6937337416843554,-0.099071674,CCDC141,0.6937337416843554,0.099071674
9178,GOLGA8A,0.6940261814430255,0.7172047,GOLGA8A,0.6940261814430255,-0.7172047
9179,ZNF736,0.6951963957463433,0.38506857,ZNF736,0.6951963957463433,-0.38506857
9180,CCS,0.6959769424165858,-0.8258419,CCS,0.6959769424165858,0.8258419
9181,POP1,0.6960745334188538,-0.43535686,POP1,0.6960745334188538,0.43535686
9182,CTD-2357A8.3,0.6961721294537613,-0.17282917,CTD-2357A8.3,0.6961721294537613,0.17282917
9183,SIGLEC14,0.6963673366157284,-3.3110085,SIGLEC14,0.6963673366157284,3.3110085
9184,CROT,0.6967578112678966,0.12397283,CROT,0.6967578112678966,-0.12397283
9185,MARC2,0.6967578112678966,-2.7549531,MARC2,0.6967578112678966,2.7549531
9186,STK11IP,0.6967578112678966,-0.06548484,STK11IP,0.6967578112678966,0.06548484
9187,LINC00665,0.6970507199987863,-0.48370728,LINC00665,0.6970507199987863,0.48370728
9188,FBXO32,0.6971483662807694,0.17820929,FBXO32,0.6971483662807694,-0.17820929
9189,BMT2,0.6971483662807694,0.062199783,BMT2,0.6971483662807694,-0.062199783
9190,DUSP14,0.6972460175795228,0.6303543,DUSP14,0.6972460175795228,-0.6303543
9191,SLC30A1,0.6975390015619619,0.28194788,SLC30A1,0.6975390015619619,-0.28194788
9192,URB1,0.6977343492742902,0.16692755,URB1,0.6977343492742902,-0.16692755
9193,BRAF,0.6977343492742902,-0.34586757,BRAF,0.6977343492742902,0.34586757
9194,FCHSD1,0.6979297170190251,0.04909888,FCHSD1,0.6979297170190251,-0.04909888
9195,MSANTD2,0.6979297170190251,0.0717153,MSANTD2,0.6979297170190251,-0.0717153
9196,PPP1R3D,0.6981251047846007,0.095476195,PPP1R3D,0.6981251047846007,-0.095476195
9197,POFUT1,0.6983205125594467,0.059865993,POFUT1,0.6983205125594467,-0.059865993
9198,L3HYPDH,0.6983205125594467,-0.068445206,L3HYPDH,0.6983205125594467,0.068445206
9199,FAM212A,0.6985159403319894,0.22020169,FAM212A,0.6985159403319894,-0.22020169
9200,SGPP2,0.6987113880906507,0.07194143,SGPP2,0.6987113880906507,-0.07194143
9201,SH3BP5L,0.6989068558238485,0.27107227,SH3BP5L,0.6989068558238485,-0.27107227
9202,USP12,0.6995911500222102,-0.41390976,USP12,0.6995911500222102,0.41390976
9203,MSH5,0.7008626292044821,2.5253046,MSH5,0.7008626292044821,-2.5253046
9204,OGG1,0.7008626292044821,-0.41353238,OGG1,0.7008626292044821,0.41353238
9205,INTS5,0.7008626292044821,-0.40300745,INTS5,0.7008626292044821,0.40300745
9206,DNAJC3-AS1,0.7012540224148456,-1.2001793,DNAJC3-AS1,0.7012540224148456,1.2001793
9207,FBXO44,0.7012540224148456,-0.31322202,FBXO44,0.7012540224148456,0.31322202
9208,MIR940,0.7012540224148456,2.3978026,MIR940,0.7012540224148456,-2.3978026
9209,PRRG2,0.7012540224148456,2.3841937,PRRG2,0.7012540224148456,-2.3841937
9210,MAP3K6,0.7014497487612603,2.1181197,MAP3K6,0.7014497487612603,-2.1181197
9211,MT1G,0.7014497487612603,2.386777,MT1G,0.7014497487612603,-2.386777
