,cell_type
83,CD8A+ Proliferating
84,NK HSP+
85,CD4+ Activated IEG
86,CD8A+ Exhausted
87,CD14+/CD16+ Monocyte
88,CD8A+ Exhausted IEG
89,NK HSP+
90,CD8A+ NK-like
91,CD8A+ NK-like
92,NK HSP+
93,Conventional NK
94,CD14+ Monocyte
95,CD8A+ Tissue-resident
96,CD8A+ Exhausted
97,CD8A+ Exhausted IEG
98,TAM/TCR (Ambiguos)
99,CD8A+ Proliferating
100,CD4+ Activated IEG
101,Conventional NK
102,CD8A+ Exhausted
103,CD8A+ Exhausted IEG
104,CD4+ Activated IEG
105,NK HSP+
106,TAM HLAhi
107,NK HSP+
108,CD8A+ Exhausted
109,CD45- ccRCC CA9+
110,CD4+ Effector
111,CD8A+ Tissue-resident
112,CD8A+ Exhausted
113,CD8A+ Exhausted IEG
114,NK HSP+
115,CD8A+ Exhausted
116,CD8A+ Tissue-resident
117,NK HSP+
118,cDC2
119,CD8A+ Exhausted IEG
120,CD8A+ Tissue-resident
121,CD8A+ Exhausted
122,CD4+ Activated IEG
123,CD8A+ NK-like
124,CD8A+ NK-like
125,CD8A+ Exhausted IEG
126,CD4+ Activated IEG
127,CD4+ Naive
128,CD4+ Effector
129,CD8A+ Exhausted
130,TAM HLAhi
131,CD8A+ Exhausted
132,NK HSP+
133,CD8A+ NK-like
134,CD4+ Activated IEG
135,CD8A+ Tissue-resident
136,CD8A+ Tissue-resident
137,cDC2
138,CD8A+ Exhausted IEG
139,CD8A+ NK-like
140,CD45- Vascular Endothelium
141,CD8A+ Exhausted
142,CD4+ Activated IEG
143,CD45- Vascular Endothelium
144,CD4+ Activated IEG
145,CD8A+ Tissue-resident
146,CD4+ Activated IEG
147,CD14+/CD16+ Monocyte
148,CD45- Vascular Endothelium
149,CD45- Vascular Endothelium
150,CD45- Myofibroblast
151,CD8A+ NK-like
152,NK HSP+
153,TAM/TCR (Ambiguos)
154,CD8A+ NK-like
155,CD8A+ Exhausted IEG
156,CD14+ Monocyte
157,CD8A+ Proliferating
158,CD8A+ NK-like
159,CD8A+ Tissue-resident
160,CD14+/CD16+ Monocyte
161,CD4+ Activated IEG
162,CD14+ Monocyte
163,CD8A+ Exhausted IEG
164,CD45- Vascular Endothelium
165,CD8A+ Proliferating
166,CD4+ Activated IEG
167,CD8A+ Tissue-resident
168,CD4+ Effector
169,CD8A+ Tissue-resident
170,CD8A+ Proliferating
171,CD8A+ NK-like
172,CD8A+ Proliferating
173,CD8A+ Tissue-resident
174,CD8A+ NK-like
175,CD45- Myofibroblast
176,CD8A+ Exhausted
177,CD4+ Activated IEG
178,CD8A+ Tissue-resident
179,CD45- Vascular Endothelium
180,CD8A+ Proliferating
181,CD8A+ Exhausted
182,cDC2
183,CD8A+ Tissue-resident
184,CD4+ Activated IEG
185,TAM ISGint
186,NK HSP+
187,CD14+/CD16+ Monocyte
188,CD45- Vascular Endothelium
189,cDC2
190,CD8A+ Proliferating
191,CD8A+ Exhausted IEG
192,CD45- Vascular Endothelium
193,CD14+/CD16+ Monocyte
194,CD8A+ NK-like
195,CD4+ Activated IEG
196,NK HSP+
197,CD8A+ Tissue-resident
198,CD8A+ Exhausted IEG
199,NK HSP+
200,CD14+/CD16+ Monocyte
201,TAM HLAhi
202,CD8A+ Tissue-resident
203,CD4+ Effector
204,cDC2
205,CD8A+ Proliferating
206,NK HSP+
207,CD4+ Activated IEG
208,CD8A+ NK-like
209,CD4+ Activated IEG
210,B cell
211,CD14+/CD16+ Monocyte
212,CD8A+ NK-like
213,CD45- Vascular Endothelium
214,CD4+ Activated IEG
215,CD8A+ Exhausted IEG
216,CD8A+ Proliferating
217,CD8A+ Exhausted
218,cDC2
219,NK HSP+
220,CD4+ Activated IEG
221,Conventional NK
222,CD8A+ Exhausted IEG
223,CD4+ Activated IEG
224,cDC2
225,NK HSP+
226,cDC2
227,NK HSP+
228,CD8A+ NK-like
229,CD8A+ Proliferating
230,CD14+/CD16+ Monocyte
231,CD4+ Activated IEG
232,TAM HLAhi
233,CD8A+ Exhausted
234,CD8A+ Proliferating
235,CD4+ Effector
236,TAM/TCR (Ambiguos)
237,Conventional NK
238,NK HSP+
239,CD8A+ Exhausted IEG
240,TAM HLAint
241,CD45- Myofibroblast
242,CD8A+ Exhausted
243,CD8A+ NK-like
244,CD4+ Treg
245,TAM HLAhi
246,cDC2
247,CD8A+ Exhausted IEG
248,NK HSP+
249,CD8A+ Proliferating
250,CD4+ Activated IEG
251,CD8A+ Exhausted IEG
252,CD14+/CD16+ Monocyte
253,TAM HLAhi
254,CD4+ Activated IEG
255,CD8A+ Proliferating
256,CD4+ Activated IEG
257,CD4+ Activated IEG
258,CD8A+ NK-like
259,CD8A+ Exhausted IEG
260,NK HSP+
261,CD4+ Activated IEG
262,CD8A+ Exhausted IEG
263,CD4+ Treg
264,CD8A+ Tissue-resident
265,NK HSP+
266,CD8A+ Exhausted IEG
267,CD14+ Monocyte
268,CD8A+ Exhausted
269,NK HSP+
270,Conventional NK
271,NK HSP+
272,cDC2
273,CD8A+ Exhausted
274,CD8A+ NK-like
275,CD14+ Monocyte
276,CD8A+ NK-like
277,CD8A+ Proliferating
278,CD8A+ Exhausted
279,CD8A+ Exhausted
280,NK HSP+
281,TAM/TCR (Ambiguos)
282,CD8A+ NK-like
283,CD45- Vascular Endothelium
284,CD8A+ Proliferating
285,TAM ISGint
286,CD45- Vascular Endothelium
287,TAM/TCR (Ambiguos)
288,NK HSP+
289,CD4+ Effector
290,CD8A+ NK-like
291,CD8A+ Proliferating
292,CD8A+ Proliferating
293,CD8A+ Exhausted IEG
294,CD45- ccRCC CA9+
295,NK HSP+
296,NK HSP+
297,cDC2
298,cDC2
299,CD8A+ Tissue-resident
300,CD8A+ Tissue-resident
301,CD4+ Activated IEG
302,CD8A+ NK-like
303,CD4+ Activated IEG
304,CD8A+ Exhausted
305,CD8A+ Tissue-resident
306,CD14+/CD16+ Monocyte
307,CD14+ Monocyte
308,cDC2
309,CD4+ Activated IEG
310,CD8A+ Exhausted
311,CD8A+ Exhausted
312,CD8A+ Exhausted
313,CD14+ Monocyte
314,CD8A+ Exhausted IEG
315,CD8A+ Tissue-resident
316,Conventional NK
317,NK HSP+
318,CD8A+ NK-like
319,Conventional NK
320,CD8A+ NK-like
321,CD8A+ Tissue-resident
322,CD45- Vascular Endothelium
323,CD4+ Treg
324,CD4+ Activated IEG
325,CD8A+ NK-like
326,NK HSP+
327,CD4+ Naive
328,CD4+ Effector
329,CD8A+ Tissue-resident
330,CD4+ Activated IEG
331,CD45- PAX8+ renal epithelium
332,CD8A+ Exhausted
333,CD4+ Activated IEG
334,CD8A+ Proliferating
335,CD14+ Monocyte
336,CD8A+ Exhausted IEG
337,CD4+ Activated IEG
338,TAM ISGhi
339,CD8A+ Tissue-resident
340,CD8A+ NK-like
341,CD8A+ Proliferating
342,CD4+ Activated IEG
343,NK HSP+
344,Conventional NK
345,NK HSP+
346,CD14+/CD16+ Monocyte
347,CD8A+ NK-like
348,CD8A+ NK-like
349,NK HSP+
350,CD14+/CD16+ Monocyte
351,CD45- Myofibroblast
352,CD8A+ Proliferating
353,CD8A+ Exhausted
354,CD8A+ Proliferating
355,CD4+ Activated IEG
356,CD45- Vascular Endothelium
357,CD14+/CD16+ Monocyte
358,NK HSP+
359,Conventional NK
360,CD4+ Activated IEG
361,CD4+ Effector
362,CD4+ Activated IEG
363,cDC2
364,CD8A+ Exhausted IEG
365,CD45- Vascular Endothelium
366,CD8A+ NK-like
367,TAM ISGint
368,CD8A+ Tissue-resident
369,cDC2
370,CD4+ Activated IEG
371,CD8A+ Exhausted IEG
372,CD8A+ NK-like
373,CD14+/CD16+ Monocyte
374,CD4+ Activated IEG
375,CD8A+ NK-like
376,CD4+ Treg
377,CD45- Myofibroblast
378,CD8A+ NK-like
379,CD8A+ NK-like
380,CD4+ Activated IEG
381,CD45- Vascular Endothelium
382,CD8A+ NK-like
383,CD14+ Monocyte
384,TAM/TCR (Ambiguos)
385,CD45- Vascular Endothelium
386,CD8A+ Proliferating
387,CD14+/CD16+ Monocyte
388,CD14+ Monocyte
389,CD8A+ NK-like
390,NK HSP+
391,CD4+ Activated IEG
392,CD8A+ Exhausted IEG
393,cDC1
394,CD8A+ Tissue-resident
395,CD4+ Activated IEG
396,CD8A+ NK-like
397,CD8A+ Tissue-resident
398,CD8A+ NK-like
399,CD14+/CD16+ Monocyte
400,CD14+ Monocyte
401,NK HSP+
402,CD8A+ Proliferating
403,CD4+ Effector
404,NK HSP+
405,CD8A+ Exhausted
406,CD4+ Treg
407,TAM HLAhi
408,CD14+/CD16+ Monocyte
409,CD8A+ Exhausted IEG
410,cDC2
411,CD8A+ Exhausted IEG
412,CD4+ Effector
413,cDC2
414,NK HSP+
415,CD45- Vascular Endothelium
416,CD8A+ Proliferating
417,CD8A+ Proliferating
418,TAM HLAhi
419,CD45- PAX8+ renal epithelium
420,CD4+ Activated IEG
421,CD8A+ Proliferating
422,CD45- Vascular Endothelium
423,NK HSP+
424,CD4+ Proliferating
425,CD4+ Activated IEG
426,CD8A+ NK-like
427,CD8A+ Tissue-resident
428,CD45- Vascular Endothelium
429,TAM ISGint
430,CD8A+ Tissue-resident
431,CD8A+ NK-like
432,cDC2
433,TAM ISGhi
434,NK HSP+
435,NK HSP+
436,CD45- Vascular Endothelium
437,CD8A+ NK-like
438,CD8A+ Proliferating
439,NK HSP+
440,CD4+ Activated IEG
441,CD8A+ Exhausted
442,CD45- Vascular Endothelium
443,CD4+ Activated IEG
444,CD8A+ Exhausted IEG
445,NK HSP+
446,CD4+ Effector
447,NK HSP+
448,CD14+ Monocyte
449,CD8A+ NK-like
450,CD8A+ Tissue-resident
451,CD8A+ NK-like
452,NK HSP+
453,CD4+ Activated IEG
454,CD4+ Activated IEG
455,Conventional NK
456,CD8A+ Tissue-resident
457,NK HSP+
458,CD45- Myofibroblast
459,TAM HLAhi
460,CD45- Myofibroblast
461,CD4+ Effector
462,CD8A+ Proliferating
463,CD8A+ NK-like
464,CD8A+ NK-like
465,Conventional NK
466,NK HSP+
467,TAM HLAhi
468,TAM HLAhi
469,CD8A+ Proliferating
470,CD8A+ Tissue-resident
471,CD4+ Naive
472,CD8A+ Proliferating
473,CD4+ Effector
474,NK HSP+
475,CD8A+ NK-like
476,CD45- ccRCC CA9+
477,CD8A+ NK-like
478,NK HSP+
479,CD4+ Treg
480,CD8A+ Exhausted
481,cDC1
482,CD14+/CD16+ Monocyte
483,CD8A+ Proliferating
484,CD8A+ Tissue-resident
485,NK HSP+
486,CD8A+ Exhausted IEG
487,CD45- Myofibroblast
488,CD14+ Monocyte
489,NK HSP+
490,CD8A+ Proliferating
491,NK HSP+
492,CD8A+ Exhausted
493,CD8A+ Tissue-resident
494,NK HSP+
495,CD8A+ NK-like
496,NK HSP+
497,NK HSP+
498,CD8A+ Exhausted
499,NK HSP+
500,CD4+ Naive
501,NK HSP+
502,CD45- Vascular Endothelium
503,CD4+ Treg
504,CD8A+ NK-like
505,CD8A+ Proliferating
506,CD8A+ Proliferating
507,CD14+/CD16+ Monocyte
508,NK HSP+
509,CD8A+ Exhausted
510,CD4+ Activated IEG
511,CD8A+ Exhausted IEG
512,TAM HLAint
513,CD14+ Monocyte
514,CD8A+ Proliferating
515,cDC2
516,TAM ISGint
517,CD45- PAX8+ renal epithelium
518,CD45- Vascular Endothelium
519,CD4+ Activated IEG
520,cDC2
521,NK HSP+
522,CD14+/CD16+ Monocyte
523,CD8A+ Tissue-resident
524,CD8A+ Tissue-resident
525,CD4+ Activated IEG
526,NK HSP+
527,CD8A+ Exhausted IEG
528,cDC1
529,CD4+ Activated IEG
530,CD8A+ Exhausted
531,Conventional NK
532,CD8A+ NK-like
533,Conventional NK
534,CD8A+ Tissue-resident
535,CD8A+ Proliferating
536,CD8A+ NK-like
537,CD8A+ Tissue-resident
538,CD8A+ Tissue-resident
539,cDC2
540,cDC2
541,CD8A+ Tissue-resident
542,CD8A+ NK-like
543,CD8A+ Exhausted IEG
544,CD4+ Activated IEG
545,CD8A+ Exhausted
546,NK HSP+
547,cDC2
548,TAM HLAhi
549,cDC2
550,CD14+ Monocyte
551,CD8A+ Proliferating
552,CD8A+ Tissue-resident
553,CD8A+ Proliferating
554,CD8A+ Tissue-resident
555,CD8A+ Exhausted IEG
556,CD4+ Activated IEG
557,NK HSP+
558,CD45- Vascular Endothelium
559,CD8A+ Tissue-resident
560,CD45- Vascular Endothelium
561,CD14+ Monocyte
562,CD4+ Activated IEG
563,CD8A+ NK-like
564,CD8A+ NK-like
565,TAM HLAhi
566,CD4+ Activated IEG
567,CD8A+ Exhausted IEG
568,cDC2
569,cDC2
570,CD8A+ NK-like
571,CD14+ Monocyte
572,CD8A+ Exhausted
573,CD8A+ NK-like
574,CD8A+ Exhausted IEG
575,TAM HLAint
576,TAM HLAint
577,CD8A+ Exhausted
578,CD8A+ Proliferating
579,CD8A+ Proliferating
580,NK HSP+
581,CD4+ Treg
582,CD8A+ NK-like
583,TAM HLAhi
584,CD4+ Activated IEG
585,CD8A+ Tissue-resident
586,CD8A+ NK-like
587,CD45- Myofibroblast
588,CD8A+ Exhausted
589,CD8A+ NK-like
590,CD8A+ Exhausted IEG
591,cDC2
592,CD14+/CD16+ Monocyte
593,CD8A+ Proliferating
594,Conventional NK
595,CD8A+ NK-like
596,Conventional NK
597,cDC2
598,CD8A+ Proliferating
599,CD8A+ Exhausted IEG
600,CD8A+ Proliferating
601,TAM HLAint
602,CD8A+ NK-like
603,NK HSP+
604,cDC2
605,CD4+ Activated IEG
606,CD8A+ Exhausted IEG
607,Conventional NK
608,TAM HLAhi
609,CD45- Vascular Endothelium
610,CD8A+ Exhausted IEG
611,CD14+/CD16+ Monocyte
612,NK HSP+
613,CD8A+ Tissue-resident
614,CD8A+ Exhausted
615,CD8A+ Exhausted
616,CD8A+ Exhausted
617,CD8A+ NK-like
618,CD8A+ NK-like
619,CD4+ Activated IEG
620,CD14+/CD16+ Monocyte
621,CD8A+ Tissue-resident
622,CD8A+ Proliferating
623,CD8A+ Exhausted
624,TAM HLAhi
625,CD8A+ Proliferating
626,CD8A+ Exhausted
627,Conventional NK
628,CD8A+ Proliferating
629,NK HSP+
630,CD8A+ Exhausted
631,NK HSP+
632,CD8A+ Exhausted
633,CD8A+ Exhausted
634,CD8A+ Exhausted
635,TAM/TCR (Ambiguos)
636,CD45- Vascular Endothelium
637,TAM ISGint
638,CD8A+ Tissue-resident
639,CD8A+ Proliferating
640,CD8A+ Exhausted IEG
641,CD14+ Monocyte
642,CD14+ Monocyte
643,CD45- Vascular Endothelium
644,CD8A+ Proliferating
645,CD45- PAX8+ renal epithelium
646,CD8A+ Exhausted IEG
647,CD8A+ Tissue-resident
648,CD8A+ Exhausted
649,CD4+ Activated IEG
650,CD8A+ Proliferating
651,CD8A+ Proliferating
652,CD14+ Monocyte
653,TAM HLAhi
654,TAM/TCR (Ambiguos)
655,CD8A+ Exhausted
656,CD8A+ Exhausted IEG
657,CD8A+ Proliferating
658,CD8A+ Exhausted IEG
659,CD8A+ NK-like
660,CD4+ Naive
661,CD8A+ Exhausted
662,CD14+/CD16+ Monocyte
663,CD8A+ NK-like
664,NK HSP+
665,CD8A+ Tissue-resident
666,NK HSP+
667,CD8A+ Tissue-resident
668,TAM HLAhi
669,pDC
670,CD8A+ NK-like
671,cDC1
672,NK HSP+
673,CD8A+ Exhausted
674,NK HSP+
675,cDC2
676,CD4+ Activated IEG
677,CD8A+ Proliferating
678,CD8A+ NK-like
679,CD8A+ NK-like
680,CD8A+ Proliferating
681,CD14+ Monocyte
682,CD8A+ Exhausted
683,CD8A+ NK-like
684,CD45- Myofibroblast
685,CD8A+ Proliferating
686,CD4+ Activated IEG
687,CD45- Vascular Endothelium
688,CD4+ Activated IEG
689,CD8A+ Exhausted IEG
690,CD45- Vascular Endothelium
691,CD8A+ NK-like
692,cDC2
693,CD14+/CD16+ Monocyte
694,CD8A+ Exhausted IEG
695,CD8A+ Tissue-resident
696,CD14+ Monocyte
697,CD8A+ Exhausted IEG
698,pDC
699,CD8A+ Proliferating
700,CD8A+ Tissue-resident
701,CD8A+ Proliferating
702,NK HSP+
703,CD8A+ Exhausted IEG
704,Conventional NK
705,CD8A+ Tissue-resident
706,CD14+/CD16+ Monocyte
707,CD8A+ Exhausted
708,CD8A+ Tissue-resident
709,CD8A+ NK-like
710,NK HSP+
711,CD8A+ Exhausted
712,cDC2
713,CD8A+ Exhausted IEG
714,cDC2
715,CD4+ Activated IEG
716,CD45- Vascular Endothelium
717,CD8A+ NK-like
718,CD14+ Monocyte
719,NK HSP+
720,CD8A+ Proliferating
721,CD14+/CD16+ Monocyte
722,CD8A+ Exhausted IEG
723,CD4+ Activated IEG
724,CD8A+ NK-like
725,CD4+ Activated IEG
726,CD8A+ Tissue-resident
727,NK HSP+
728,CD8A+ Exhausted IEG
729,CD8A+ Tissue-resident
730,TAM HLAhi
731,CD8A+ Exhausted IEG
732,CD8A+ Proliferating
733,CD8A+ Tissue-resident
734,CD8A+ Exhausted IEG
735,TAM/TCR (Ambiguos)
736,CD14+ Monocyte
737,CD4+ Activated IEG
738,CD8A+ NK-like
739,CD14+ Monocyte
740,CD4+ Activated IEG
741,CD4+ Activated IEG
742,CD8A+ Exhausted IEG
743,CD8A+ Exhausted
744,Conventional NK
745,cDC2
746,CD8A+ Exhausted
747,CD45- Vascular Endothelium
748,CD4+ Activated IEG
749,Conventional NK
750,CD8A+ Proliferating
751,CD8A+ NK-like
752,Conventional NK
753,NK HSP+
754,NK HSP+
755,CD45- Vascular Endothelium
756,CD8A+ Tissue-resident
757,pDC
758,CD45- Vascular Endothelium
759,CD14+/CD16+ Monocyte
760,CD8A+ Exhausted
761,TAM/TCR (Ambiguos)
762,CD4+ Activated IEG
763,CD8A+ Tissue-resident
764,CD8A+ NK-like
765,TAM/TCR (Ambiguos)
766,CD8A+ NK-like
767,CD8A+ Exhausted IEG
768,CD4+ Activated IEG
769,NK HSP+
770,cDC2
771,CD14+/CD16+ Monocyte
772,TAM/TCR (Ambiguos)
773,CD8A+ NK-like
774,CD8A+ Exhausted IEG
775,TAM ISGhi
776,CD8A+ NK-like
777,CD4+ Activated IEG
778,CD4+ Activated IEG
779,CD8A+ Exhausted IEG
780,cDC2
781,NK HSP+
782,NK HSP+
783,CD14+/CD16+ Monocyte
784,CD8A+ Exhausted IEG
785,CD4+ Activated IEG
786,CD8A+ Exhausted IEG
787,CD8A+ Tissue-resident
788,CD8A+ Proliferating
789,CD8A+ NK-like
790,CD4+ Activated IEG
791,CD4+ Effector
792,CD8A+ Exhausted IEG
793,CD4+ Activated IEG
794,cDC2
795,CD8A+ Tissue-resident
796,CD4+ Activated IEG
797,TAM/TCR (Ambiguos)
798,CD8A+ Exhausted IEG
799,CD8A+ NK-like
800,Conventional NK
801,cDC2
802,TAM ISGint
803,cDC2
804,CD8A+ Tissue-resident
805,CD8A+ Exhausted IEG
806,NK HSP+
807,NK HSP+
808,NK HSP+
809,CD8A+ Exhausted
810,NK HSP+
811,TAM HLAhi
812,CD8A+ NK-like
813,CD8A+ Exhausted IEG
814,CD8A+ Exhausted
815,CD45- Vascular Endothelium
816,CD14+/CD16+ Monocyte
817,CD8A+ Exhausted IEG
818,CD8A+ Exhausted IEG
819,NK HSP+
820,CD8A+ NK-like
821,CD8A+ Exhausted IEG
822,CD8A+ Tissue-resident
823,NK HSP+
824,CD14+ Monocyte
825,CD8A+ Proliferating
826,CD8A+ Proliferating
827,CD8A+ Tissue-resident
828,CD8A+ NK-like
829,CD14+ Monocyte
830,NK HSP+
831,CD8A+ Tissue-resident
832,CD8A+ Proliferating
833,CD8A+ NK-like
834,CD14+ Monocyte
835,cDC2
836,CD8A+ Proliferating
837,NK HSP+
838,CD4+ Activated IEG
839,CD8A+ Exhausted IEG
840,cDC2
841,CD45- Vascular Endothelium
842,CD8A+ Exhausted IEG
843,CD8A+ Tissue-resident
844,CD8A+ Exhausted IEG
845,CD8A+ Tissue-resident
846,CD45- Vascular Endothelium
847,CD4+ Treg
848,CD8A+ Proliferating
849,CD14+ Monocyte
850,CD8A+ NK-like
851,CD8A+ Exhausted IEG
852,CD8A+ Proliferating
853,CD8A+ NK-like
854,CD8A+ Exhausted
855,cDC2
856,CD8A+ NK-like
857,CD8A+ NK-like
858,CD8A+ Exhausted
859,CD8A+ Proliferating
860,CD8A+ Proliferating
861,TAM/TCR (Ambiguos)
862,TAM HLAint
863,CD8A+ Proliferating
864,CD4+ Activated IEG
865,CD14+/CD16+ Monocyte
866,CD8A+ Exhausted
867,CD14+/CD16+ Monocyte
868,CD8A+ Exhausted IEG
869,CD4+ Activated IEG
870,CD14+/CD16+ Monocyte
871,CD4+ Activated IEG
872,CD8A+ Tissue-resident
873,CD8A+ Proliferating
874,CD8A+ Tissue-resident
875,NK HSP+
876,CD14+ Monocyte
877,CD14+/CD16+ Monocyte
878,CD8A+ Proliferating
879,NK HSP+
880,CD14+/CD16+ Monocyte
881,CD8A+ Exhausted
882,CD8A+ Exhausted
883,CD14+ Monocyte
884,cDC2
885,CD8A+ NK-like
886,CD8A+ Tissue-resident
887,CD8A+ Exhausted IEG
888,NK HSP+
889,CD8A+ NK-like
890,CD4+ Activated IEG
891,CD45- Vascular Endothelium
892,TAM HLAhi
893,NK HSP+
894,CD8A+ Tissue-resident
895,CD14+ Monocyte
896,CD8A+ NK-like
897,CD8A+ Proliferating
898,CD8A+ Exhausted
899,CD8A+ Exhausted
900,NK HSP+
901,CD45- Vascular Endothelium
902,CD4+ Activated IEG
903,CD8A+ Proliferating
904,CD45- Myofibroblast
905,CD8A+ Exhausted IEG
906,CD4+ Activated IEG
907,CD8A+ Exhausted
908,CD45- PAX8+ renal epithelium
909,CD8A+ Proliferating
910,CD8A+ Tissue-resident
911,CD8A+ Tissue-resident
912,CD8A+ Tissue-resident
913,CD8A+ Exhausted
914,CD14+/CD16+ Monocyte
915,NK HSP+
916,CD8A+ NK-like
917,Conventional NK
918,CD8A+ NK-like
919,CD8A+ Tissue-resident
920,CD14+/CD16+ Monocyte
921,CD14+/CD16+ Monocyte
922,CD8A+ Exhausted IEG
923,CD8A+ Tissue-resident
924,CD8A+ NK-like
925,CD14+ Monocyte
926,CD8A+ Proliferating
927,CD8A+ NK-like
928,CD8A+ Proliferating
929,TAM HLAhi
930,CD4+ Activated IEG
931,CD45- Myofibroblast
932,CD4+ Activated IEG
933,CD8A+ Exhausted IEG
934,CD8A+ Proliferating
935,CD8A+ Tissue-resident
936,CD8A+ Tissue-resident
937,CD45- Vascular Endothelium
938,CD4+ Activated IEG
939,CD14+/CD16+ Monocyte
940,CD45- ccRCC CA9+
941,TAM HLAhi
942,CD8A+ Proliferating
943,NK HSP+
944,CD45- Vascular Endothelium
945,CD8A+ Exhausted IEG
946,CD8A+ NK-like
947,CD8A+ Proliferating
948,CD8A+ Proliferating
949,CD8A+ NK-like
950,CD4+ Effector
951,CD8A+ Exhausted
952,CD8A+ NK-like
953,CD45- Myofibroblast
954,CD8A+ Tissue-resident
955,CD8A+ Tissue-resident
956,CD8A+ Tissue-resident
957,CD4+ Effector
958,CD45- Vascular Endothelium
959,NK HSP+
960,CD8A+ NK-like
961,CD8A+ NK-like
962,CD8A+ Exhausted
963,CD8A+ NK-like
964,CD8A+ Tissue-resident
965,CD4+ Treg
966,CD8A+ Exhausted
967,TAM/TCR (Ambiguos)
968,CD8A+ NK-like
969,NK HSP+
970,CD8A+ Exhausted
971,CD8A+ Exhausted IEG
972,CD4+ Treg
973,CD45- Vascular Endothelium
974,CD45- Vascular Endothelium
975,NK HSP+
976,CD8A+ Proliferating
977,CD4+ Activated IEG
978,NK HSP+
979,CD8A+ Proliferating
980,CD8A+ Exhausted
981,NK HSP+
982,cDC2
983,cDC2
984,CD8A+ NK-like
985,CD8A+ NK-like
986,cDC2
987,CD8A+ Proliferating
988,CD4+ Activated IEG
989,CD8A+ Proliferating
990,CD8A+ Exhausted
991,CD8A+ Exhausted IEG
992,CD8A+ Proliferating
993,CD8A+ NK-like
994,CD8A+ Exhausted
995,CD8A+ Exhausted
996,CD8A+ Exhausted
997,CD8A+ Exhausted
998,NK HSP+
999,CD8A+ Proliferating
1000,CD8A+ Tissue-resident
1001,CD8A+ NK-like
1002,CD8A+ Exhausted
1003,CD45- Myofibroblast
1004,CD4+ Treg
1005,CD8A+ Tissue-resident
1006,CD8A+ Exhausted
1007,cDC2
1008,CD45- PAX8+ renal epithelium
1009,CD14+/CD16+ Monocyte
1010,CD4+ Activated IEG
1011,CD8A+ NK-like
1012,CD8A+ Exhausted IEG
1013,CD4+ Activated IEG
1014,CD8A+ Exhausted IEG
1015,CD4+ Effector
1016,CD45- ccRCC CA9+
1017,CD4+ Activated IEG
1018,CD4+ Activated IEG
1019,CD8A+ Tissue-resident
1020,CD4+ Activated IEG
1021,CD8A+ Proliferating
1022,cDC1
1023,TAM HLAhi
1024,CD4+ Treg
1025,CD8A+ Exhausted
1026,CD14+/CD16+ Monocyte
1027,CD8A+ Exhausted
1028,Conventional NK
1029,CD8A+ Tissue-resident
1030,CD8A+ NK-like
1031,CD4+ Effector
1032,CD8A+ Tissue-resident
1033,CD45- Myofibroblast
1034,CD8A+ NK-like
1035,Conventional NK
1036,CD8A+ Exhausted IEG
1037,CD8A+ Tissue-resident
1038,CD8A+ NK-like
1039,CD8A+ Exhausted IEG
1040,CD8A+ Exhausted IEG
